Key,Faculty,Department,Program,Level,Degree,Course code,Course number,Title,Description,Metadata,Type,Website
FAS_493,FAS,Applied Human Sciences,Any program,Any level,Any degree,,,Centre for Human Relations and Community Studies (CHRCS),"Action Research, Consultation, And Training",Laboratory/clinics,Course-integrated;Community-based;Research-based,
FAS_5,FAS,Applied Human Sciences,Leisure Sciences / Therapeutic Recreation,Undergraduate,Bachelor,AHSC,360,"Play, Adult Learning and Development",Design And Implement Play Based Simulations Appropriate For Various Levels According To Life Stage Development. Moot Programs In Class With Peer Groups,Games/Role-playing;Simulations,Course-integrated,
FAS_50,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS/SIB,Undergraduate,Bachelor,BIOL,486,High-throughput Instrumentation,Real-World Project/Assignment,Real-world project/assignment,Course-integrated,
FAS_51,FAS,Biology,Biotechnology and Genomics,Graduate,Certificate,BIOL,515,Biotechnology and Genomics Laboratory,Laboratory,Laboratory/clinics,Course-integrated,
FAS_52,FAS,Biology,Biotechnology and Genomics,Graduate,Certificate,BIOL,524,High-throughput Instrumentation,Real-World Project/Assignment,,Course-integrated,
FAS_53,FAS,Biology,Biology,Graduate,Master,BIOL,622,Advanced Techniques in Ecology,Laboratory,,Course-integrated,
FAS_55,FAS,Biology,Biology,Graduate,Master,BIOL,670,Scientific Communication,Workshops,,Course-integrated,
FAS_56,FAS,Biology,Biology,Graduate,Master,BIOL,689,Advanced Techniques in Molecular Biology,Laboratory,,Course-integrated,
FAS_57,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,205,General Chemistry I,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_58,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,206,General Chemistry II,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_59,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,212,Analytical Chemistry for Biologists,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_6,FAS,Applied Human Sciences,Leisure Sciences / Therapeutic Recreation,Undergraduate,Bachelor,AHSC,361,Leisure Services Leadership,Experiential Learning Through Simulation With Peers And Off Campus Retreat,Simulations,Course-integrated;Community-based,
FAS_60,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,217,Introductory Analytical Chemistry I,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_61,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,218,Introductory Analytical Chemistry II,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_610,FAS,Applied Human Sciences,Leisure Sciences/ Therapeutic Recreation,Undergraduate,Bachelor,AHSC,350,Leisure Education,The Development And Implementation Of Leisure Education With Children In The Base After School Program,Games/Role-playing;Simulations,Course-integrated;Community-based,
FAS_611,FAS,Applied Human Sciences,Leisure Sciences,Undergraduate,Bachelor,AHSC,371,Community Recreation Planning,"Practical Experience, Field Experience, Project Planning ",Practica;Laboratory/Clinics,Course-integrated;Community-based,
FAS_612,FAS,Applied Human Sciences,Therapeutic Recreation,Undergraduate,Bachelor,AHSC,384,Therapeutic Recreation: Cognitive Disabilities and Illness,Volunteer Placements - Students Are Actively Involved In Assisting With Recreation And Leisure Programs At Community Organizations; Living Library Component – A Method Of Informal Education Involving Students As ‘Readers' Who Engage In Conversations With ‘Living Books' (Individuals With Mental Illness),Practica,Course-integrated;Community-based,
FAS_613,FAS,Applied Human Sciences,Therapeutic Recreation,Undergraduate,Bachelor,AHSC,432,Seminar in Therapeutic Recreation,Students Use Their Knowledge Of Tr And The Various Skills And Interests Of The Class To Design A Community Project For The Benefit Of The Community,Laboratory/Clinics;Hands-on workshops,Course-integrated;Community-based,
FAS_614,FAS,Applied Human Sciences,Human Relations,Undergraduate,Bachelor,AHSC,436,Internship in Youth and Family Work,"Work With Youth And Families In Such Settings As Child Welfare, Schools, Non-Profit Organizations, Residential Care, Or Outreach",Practica,Course-integrated;Work-integrated;Community-based,
FAS_615,FAS,Applied Human Sciences,Leisure Sciences,Undergraduate,Bachelor,AHSC,442,Community Development and Leisure,"Development, Application, And Evaluation Of A Community Development Approach In The Community",Laboratory/Clinics,Course-integrated;Community-based,
FAS_616,FAS,Applied Human Sciences,Leisure Sciences / Therapeutic Recreation,Undergraduate,Bachelor,AHSC,444,The Older Adult and Leisure,Students Form Small Working Groups With Older Adults From Local Community Organizations To Design And Facilitate A Conversation Café,Hands-on workshops,Course-integrated;Community-based,
FAS_617,FAS,Applied Human Sciences,Human Relations,Undergraduate,Bachelor,AHSC,451,Counselling Skills and Concepts,In-Class Simulations,Simulations,Course-integrated,
FAS_618,FAS,Applied Human Sciences,Youth Work,Graduate,Certificate,AHSC,530,Community Youth Development,Practical Applications For Community-Based Youth Programs,Practica,Community-based,
FAS_619,FAS,Applied Human Sciences,Youth Work,Graduate,Certificate,AHSC,533,Internship I in Youth Work,"100 Hours In Settings Such As Schools, Community Organizations, Hospitals, Or Rehabilitation Centres",Practica,Community-based,
FAS_62,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,221,Introductory Organic Chemistry I,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_620,FAS,Applied Human Sciences,Youth Work,Graduate,Certificate,AHSC,537,Internship II in Youth Work,"220-Hour Internship, Supervised Apprenticeship In Either A Clinical Or Normative Youth Work Setting That Builds On The Student'S Previous Courses",Practica;Laboratory/clinics,Community-based,
FAS_621,FAS,Applied Human Sciences,Human Systems Intervention,Graduate,Master,AHSC,680,Facilitating Individual and Group Learning Processes,Laboratory Setting,,Community-based,
FAS_63,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,222,Introductory Organic Chemistry II,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_64,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,235,Physical Chemistry II: Kinetics of Chemical Reactions,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_65,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,241,Inorganic Chemistry I: Introduction to Periodicity and Valence Theory,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_66,FAS,Chemistry and Biochemistry,Chemistry,Undergraduate,Bachelor,CHEM,242,Inorganic Chemistry II: The Chemistry of the Main Group Elements,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_67,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,271,Biochemistry I,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_673,FAS,Applied Human Sciences,Any program,Any level,Any degree,,,Applied Human Sciences Student Association,"The Student Association Introduces A Range Of Career Opportunities, Increases Contacts Within The Different Fields, Including Keeping In Contact With Graduates And Keeps Members Up To Date With Research And Studies.",Laboratory/clinics,Student life,
FAS_68,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,293,Spectroscopy and Structure of Organic Compounds,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_69,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,312,Intermediate Analytical Chemistry,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_7,FAS,Applied Human Sciences,Human Relations,Undergraduate,Bachelor,AHSC,410,Advanced Youth Work Intervention,Simulations,Simulations,Course-integrated,
FAS_70,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,324,Organic Chemistry III: Organic Reactions,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_71,FAS,Chemistry and Biochemistry,Biochemistry,Undergraduate,Bachelor,CHEM,325,Organic Chemistry IV: Organic Structure and Stereochemistry,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_72,FAS,Chemistry and Biochemistry,Biochemistry,Undergraduate,Bachelor,CHEM,335,Biophysical Chemistry,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_73,FAS,Chemistry and Biochemistry,Chemistry,Undergraduate,Bachelor,CHEM,341,Inorganic Chemistry III: The Transition Metals,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_739,FAS,Applied Human Sciences,Any program,Undergraduate,Bachelor / Certificate,AHSC,498,"Leadership,
 Change &
 Social
 Innovation","Students Join A Learning Community Made Up Of Undergraduate And Graduate Students, University Staff And Members Of The Local Community. Together They Engage In ‘U.Lab' - A Process Of Innovation And Change That Connects Inner Change To Outer Action.",Pratica,Course-integrated;Community-based,
FAS_74,FAS,Chemistry and Biochemistry,Biochemistry,Undergraduate,Bachelor,CHEM,375,Biochemistry II,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_740,FAS,Education,Adult Education,Undergraduate,Bachelor,ADED,230,Roles and Competencies of Adult Educators,"According To The Participants' Needs & Interests, An Opportunity Is Given To Explore Competencies Related To The Particular Roles",Games/Role-playing;Simulations,Course-integrated,
FAS_741,FAS,Education,Adult Education,Undergraduate,Bachelor,ADED,344,Design of Adult Learning Projects,Design & Conduct A Learning Activity In The Area Of Subject Matter Specialty,Laboratory/Clinics;Hands-on workshops,Course-integrated,
FAS_742,FAS,Education,Adult Education,Undergraduate,Bachelor,ADED,345,Evaluating Adult Learning Projects,Conduct An Evaluation Of An Adult Learning Project In The Area Of Subject Matter Specialty,Laboratory/Clinics; Practica,Course-integrated,
FAS_743,FAS,Education,Adult Education,Undergraduate,Bachelor,ADED,370,Workshops for Adult Educators,Workshop,Hands-on workshops,Course-integrated,
FAS_744,FAS,Education,Early Childhood and Elementary Education,Undergraduate,Bachelor,EDUC,264,"Communication: Child, Parent and Teacher",Students Interact With Parents Of The Children In The Observation Nursery By Conducting And Participating In Parent-Teacher Seminars,Real-world project/assignment,Course-integrated;Community-based;Work-integrated,
FAS_745,FAS,Education,Early Childhood and Elementary Education,Undergraduate,Bachelor,EDUC,301,Integrating Computers into the Elementary Classroom,Hands-On Experience With The Computer,Real-world project/assignment;Laboratory/Clinics,Course-integrated;Community-based;Work-integrated,
FAS_746,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,302,Working in Childhood Settings: Leadership and Organizational Issues,Course-Integrated Project: Drafting An Advocacy Letter To The Ministre De Famille Et Des Aines; Preparing A Handbook For Parents And Staff In An Early Childhood Setting; Role-Playing To Simulate Professional Development And Leadership.,Real-world project/assignment;Games/Role-playing,Course-integrated;Community-based,
FAS_747,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,303,"Children, Families and Social Policy","Group Project: Drafting Policy Statements, Linking Theoretical Concepts With Real-Life Needs And Issues",Real-world project/assignment,Course-integrated,
FAS_748,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,304,Play in Childhood Settings,"Course-Integrated Project: Designing Play Activities/Material/Space; Arranging Classroom Configuration To Explore Play Space; Engaging In Hands-On, Play-Based Activities; Using Photo-Elicitation Methods In Play; Inquiry-Based Learning Sessions Using Video Case Examples",Case studies;Games/Role-playing,Course-integrated,
FAS_749,FAS,Education,Any programs,Undergraduate,Bachelor,EDUC,307,Integrating Digital Technologies and Social Media in Learning Environments,Practical Project-Based Activities,Case studies,Course-integrated,
FAS_75,FAS,Chemistry and Biochemistry,Chemistry,Undergraduate,Bachelor,CHEM,419,Independent Study and Practicum,Practicum,Practica,Course-integrated,
FAS_750,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,360,Introduction to Inclusive Practices,"Active Learning Activities That Include Case Discussions, Role-Playing, And Presentations; Analyzing Psychoeducational Evaluations To Identify Children'S Strengths And Needs",Case studies;Games/Role-playing,Course-integrated,
FAS_751,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,361,Inclusive Practices in Early Childhood Settings,"Group Project: Analysis Of Case Studies To Identify Short- And Long-Term Objectives, Intervention Strategies And Activities For Children With Exceptionalities In Early Childhood Settings",Case studies,Course-integrated,
FAS_752,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,362,Inclusive Practices for School-Aged Populations,"Group Project: Analysis Of Case Studies To Identify Short- And Long-Term Objectives, Intervention Strategies And Activities For Children With Exceptionalities In Childhood Settings",Case studies,Course-integrated,
FAS_753,FAS,Education,Early Childhood and Elementary Education,Undergraduate,Bachelor,EDUC,382,Teaching Science Concepts in the Elementary Classroom,Developing Activities For Classroom Use,Games/Role-playing,Course-integrated,
FAS_754,FAS,Education,Early Childhood and Elementary Education,Undergraduate,Bachelor,EDUC,385,Teaching a Second Language in Early Childhood and Elementary School,Development Of Appropriate Classroom Activities At The Elementary Level.,Games/Role-playing,Course-integrated,
FAS_755,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,402,Diversity Issues in Childhood,"Course-Integrated Project: Student Interview A Parent Or Primary Caregiver Or An Educator, And Interpret/Analyze Responses In Terms Of The Concepts And Ideas Covered In The Course",Real-world project/assignment,Course-integrated,
FAS_756,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,406,Physical Activity: Health and Well-being in Early Childhood Settings,Identifying Safety Strategies In Indoor And Outdoor Environments In Early Childhood Settings; Simulation And Role-Playing Activities To Practice Procedures For Reporting Suspected Child-Safety And Child-Abuse Issues,Real-world project/assignment;Games/Role-playing,Course-integrated,
FAS_759,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,461,Child Studies Seminar: Early Childhood Settings,"Improvisation And Role-Play Of Communication Skills; Preparing Lesson Plans, Activity Plans, Observation Reports; In-Class Case Discussions",Real-world project/assignment;Games/Role-playing,Course-integrated,
FAS_76,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,431,Computational Chemistry for Chemists and Biochemists,"Hands-On Experience, Laboratory",Laboratory/Clinics,Course-integrated,
FAS_760,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,463,Child Studies Seminar: Inclusive Practices in Childhood Settings,Improvisation And Role-Play Of Communication Skills; Preparing Intervention Goals And Plans; Identifying Remediation And Rehabilitation Materials; Modifying Activities Plans In Accordance With Inclusive Practices; Writing Intervention Reports; In-Class Case Discussions,Real-world project/assignment,Course-integrated,
FAS_761,FAS,Education,Any program,Undergraduate,Bachelor,LIBS,495,Field Practice,5-Week Placement At A Local Library System,Real-world project/assignment,Course-integrated;Work-integrated;Community-based,
FAS_762,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor,ESL,205,Academic Oral Communication I,Multimedia Language Lab,Laboratory/Clinics,Course-integrated,
FAS_763,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor,ESL,206,Academic Oral Communication II,Multimedia Language Lab,Laboratory/Clinics,Course-integrated,
FAS_764,FAS,Education,Teaching English as a Second Language,Any level,Any degree,TESL,201,Introduction to Teaching English as a Second Language,"Project-Based Activities, Apply Course Concepts & Put Teaching Skills Into Practice",,Course-integrated,
FAS_765,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor / Certificate,TESL,221,Phonology for Teachers,"This Course Includes A Practice Component, Called Pronunciation Tutorials. During This Practical Component Of The Course, Students Meet With A Non-Native Speaker, Learner Of English As A Second Language (Typically, An International Student At Concordia), Conduct An Assessment Of The Learner'S Pronunciation Skills, And Design And Implement A Brief Pronunciation Course.",Hands-on workshops;Games/Role-playing,Course-integrated,
FAS_766,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor,TESL,330,Computers in Language Learning,"Conceptualize, Design And Assess Computer-Based Materials (Including Websites, Online Materials, Digital Games, Virtual Learning Environments, Etc.); Develop A Computer-Assisted Language Learning Curriculum;",Simulations;Laboratory/Clinics,Course-integrated,
FAS_767,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor / Certificate,TESL,231,Modern English Grammar,Practical Teaching Assignments Based On Esl Speech And Writing Samples,Hands-on workshops;Games/Role-playing,Course-integrated,
FAS_768,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor / Certificate,TESL,331,Grammar for Teachers,Practical Assignments: Evaluate Online Grammar Sources; Prepare Grammar Lesson Outlines And Participate In Teaching Simulations. The Work Completed By Students Can Be Applied In Their Teaching Careers,Hands-on workshops;Games/Role-playing,Course-integrated,
FAS_769,FAS,Education,Teaching English as a Second Language,Undergraduate,Certificate,TESL,324,Methodology I,,Hands-on workshops,Course-integrated,
FAS_77,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,436,Molecular Modelling of Proteins,"Hands-On Introduction, Computer Laboratory",Laboratory/Clinics,Course-integrated,
FAS_770,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor / Certificate,TESL,341,Language acquisition,Case Studies. Hands-On Workshops.,Case studies;Hands-on workshops,Course-integrated,
FAS_771,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor,TESL,326,TESL Pedagogy: General,"Minimum 20 Hours Observing, Teaching & Assisting In Adult Esl Classes, Classroom-Based Projects",Practica;Real-world project/assignment,Course-integrated;Work-integrated,
FAS_772,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor / Certificate,TESL,415,"Testing, Evaluation, and Course Design","Students Analyze Tests And Rating Scales, And Create A Set Of Thematic Assessments For Their Final Project.",Laboratory/Clinics,Course-integrated,
FAS_773,FAS,Education,Teaching English as a Second Language,Undergraduate,Certificate,TESL,424,Methodology II,"Conceptualize, Create And Assess Pedagogical Materials Involving Reading And Writing (Including Lesson Plans, Activities, Textbooks, Virtual Learning Environments, Website, Games, Etc.)",Games/Role-playing;Hands-on workshops,Course-integrated,
FAS_774,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor,TESL,426,Primary Pedagogy,Games/Role-Plays. Case Studies. Hands-On Workshops.,Games/Role-playing;Case studies,Course-integrated,
FAS_775,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor,TESL,427,Secondary Pedagogy,Games/Role-Plays. Case Studies. Hands-On Workshops.,Games/Role-playing;Case studies,Course-integrated,
FAS_776,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor,TESL,471,English Language Arts: Secondary,Case Studies. Hands-On Workshops.,Games/Role-playing;Case studies,Course-integrated,
FAS_777,FAS,Education,Teaching English as a Second Language,Graduate,Master,TESL,433,Practicum,"Observation Of Esl Classes Taught By Experienced Teachers, Lesson Planning And Evaluation Of Own'S Teaching Style",Hands-on workshops;Simulations,Course-integrated;Work-integrated,
FAS_778,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor,TESL,488,Internship Seminar,Develop Self-Regulated Learning Of That Of A Professional In Education. Develop The Ability To Make Links Between The Knowledge Acquired During The Bed & Practice In The Field.,Practica;Case studies,Course-integrated,
FAS_78,FAS,Chemistry and Biochemistry,Biochemistry,Undergraduate,Bachelor,CHEM,477,Advanced Laboratory in Biochemistry,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_782,FAS,Education,Applied Linguistics,Graduate,Master,APLI,601,Graduate Phonology,"Evaluation Of Pronunciation Textbooks; Assessment Of Teaching Techniques For Pronunciation Instructions; Preparation Of Teaching Materials Targeting L2 Pronunciation; Analysis Of L2 Learner Data; Use Of Computer-Assisted Tools For Pronunciation Teaching And Learning; Conduct Needs Analysis (E.G., Based On Pronunciation Problems In A Specific Learning Context)",,Course-integrated,
FAS_783,FAS,Education,Applied Linguistics,Graduate,Master,APLI,604,Applied Language Studies,"Analysis Of Language Data (E.G., Phonological, Morphosyntactic Phenomena); Synthesize Research For Various Presentation Formats: Abstract, Reviews, 3-Min./10-Min/20-Min Oral Presentations, Research Papers, Etc.;",,Course-integrated,
FAS_784,FAS,Education,Applied Linguistics,Graduate,Master,APLI,610,Teaching and Learning Second Language Vocabulary,"Students Complete Projects That Has Direct Social Impact: 1) A Vocabulary Language Task For Social Justice Education, Which They Can Apply In Their Own Teaching; 2) A Digital Presentation In Which They Demonstrate How To Use Computer Tools To Teach Vocabulary, Which Is Made Available Online For The Community; 3) A Research Paper Or A Professional Magazine Article Which Students Are Encourage To Submit For Publication",,Course-integrated,
FAS_785,FAS,Education,Applied Linguistics,Graduate,Master,APLI,616,Pedagogical Grammar,"Final Teaching Research Project: Design, Implement, And Evaluate The Teaching Of An Original Set Of Materials On A Grammar Feature; Write Up The Analysis In A Final Report",,Course-integrated,
FAS_786,FAS,Education,Applied Linguistics,Graduate,Master,APLI,623,Sociolinguistics,Students Complete A Project Targeting A Sociolinguistic Topic Of Their Choice. The Project Can Be Either Data Driven (Based On Language Data Collected By Students) Or Conceptual (Involving A Critical Review Of Relevant Issues On A Given Topic). Students Write Up The Results Of This Project In A Brief Report Format And Present Its Content In A 10-Minute Presentation.,,Course-integrated,
FAS_787,FAS,Education,Applied Linguistics,Graduate,Master,APLI,626,Variationist Approaches to Second Language Acquisition,"Conceptualize, Design And Implement A Pilot Study Using Variationist Analytical Tools; Review And Critique Studies In The Field; Create Sociolinguistically-Influenced Pedagogical Materials For Language Teaching",,Course-integrated,
FAS_788,FAS,Education,Applied Linguistics,Graduate,Master,APLI,630,Second Language Syllabus Design and Curriculum Planning,Students Conduct A Needs Analysis Based On A Language Program In Their Community With The Aim To Improve Language Instruction. They Also Complete A Final Project: Design Language Curriculum Based On The Needs Analysis. Knowledge Of Theories Learned During The Course Is Disseminated Through A Digital Presentation And A Blog Post Or Research Paper Which Students Are Encouraged To Publish Online And/Or Submit For Publication,,Course-integrated,
FAS_789,FAS,Education,Applied Linguistics,Graduate,Master,APLI,634,Cross-linguistic Influence,"Final Research Project: Students Design And Pilot (Collect Data) A Study, And Analyze And Write Up Results; Many Students Present Their Findings At The Annual Graduate Student Symposium",,Course-integrated,
FAS_79,FAS,Chemistry and Biochemistry,Chemistry,Graduate,Master,CHEM,614,Modern Aspects of Practical Mass Spectrometry,Independent Mass Spectrometry Project,,Course-integrated,
FAS_790,FAS,Education,Applied Linguistics,Graduate,Master,APLI,635,Language Assessment,"Students Complete Projects In Which They Analyze And Deconstruct Existing Language Assessments, As Well As Writing Blueprints For Language Assessments In Specific Contexts Of Their Own Choice",,Course-integrated,
FAS_791,FAS,Education,Applied Linguistics,Graduate,Master,APLI,636,Language Awareness,Students Research And Teach Language Awareness Techniques To The Entire Class.,,Course-integrated,
FAS_792,FAS,Education,Applied Linguistics,Graduate,Master,APLI,644,Technology in Language Teaching,"Design, Create And Assess Pedagogical Materials Involving Reading And Writing (Including Lesson Plans, Activities, Textbooks, Virtual Learning Environments, Website, Games, Etc.); Final Projects: Develop A Full-Fledged Virtual Learning Environment And A Research Project To Implement Computer Technology In Language Teaching And/Or Learning",,Course-integrated,
FAS_793,FAS,Education,Applied Linguistics,Graduate,Master,APLI,647,Supervision of Practice Teaching,Students Observe And Assist Novice Esl Teachers And Provide One-On-One Mentoring.,,Course-integrated,
FAS_794,FAS,Education,Applied Linguistics,Graduate,Master,APLI,660,Research Methods,"Students Engage In A Project Leading To A Proposal For An Ma-Level Research Study. The Research Proposal Consists Of Two Parts: (A) Review Of The Literature And (B) Method Section, Organized As A Single, Coherent Document. The Research Proposal Also Includes An Oral Presentation, And A Response To Peer Feedback Document.",,Course-integrated,
FAS_795,FAS,Education,Instructional Technology,Graduate,Master / Graduate Diploma,ETEC,650,Fundamentals of Instructional Design,Real-World Project,,Course-integrated,
FAS_796,FAS,Education,Instructional Technology,Graduate,Master / Graduate Diploma,ETEC,651,Fundamentals of Human Performance Technology,Real-World Project,,Course-integrated,
FAS_799,FAS,Education,Child Studies,Graduate,Master,CHST,605,Quantitative Methods of Inquiry,"Laboratory Work, Practical Experience",,Course-integrated,
FAS_8,FAS,Applied Human Sciences,Leisure Sciences / Therapeutic Recreation,Undergraduate,Bachelor,AHSC,422,Youth and Leisure,Laboratory,Laboratory/Clinics,Course-integrated;Community-based,
FAS_80,FAS,Chemistry and Biochemistry,Chemistry,Graduate,Master,CHEM,631,Computational Chemistry,Laboratory,,Course-integrated,
FAS_800,FAS,Education,Child Studies,Graduate,Master,CHST,606,Qualitative Methods of Inquiry,"Laboratory Work, Practical Experience",,Course-integrated,
FAS_801,FAS,Education,Child Studies,Graduate,Master,CHST,608,Field Observations,2-3 Hours Weekly In An Appropriate Setting,,Course-integrated,
FAS_802,FAS,Education,Child Studies,Graduate,Master,CHST,618,Childhood Settings,Field Trips To Different Types Of Settings,,Course-integrated,
FAS_803,FAS,Education,Educational Studies,Graduate,Master,ESTU,670,Adult Education as a Field of Study,A Canadian And Quebec Perspective,,Course-integrated,
FAS_804,FAS,Economics,Economics,Undergraduate,Bachelor,ECON,200,Economics and Social Issues,Case Studies,Case studies,Course-integrated,
FAS_805,FAS,Economics,Economics / Analytical Economics,Undergraduate,Bachelor,ECON,318,Canadian Economic Policy and Institutions,Case Studies; Role-Play,Case studies;Games/Role-playing,Course-integrated,
FAS_806,FAS,Economics,Economics / Analytical Economics,Undergraduate,Bachelor,ECON,319,International Economic Policy and Institutions,Case Studies; Role-Play,Case studies;Games/Role-playing,Course-integrated,
FAS_807,FAS,Economics,Economics / Analytical Economics,Undergraduate,Bachelor,ECON,324,Economic Data Analysis,Computer-Based Applications,Laboratory/Clinics,Course-integrated,
FAS_808,FAS,Economics,Economics,Undergraduate,Bachelor,ECON,330,Economics in Practice,Case Studies; Role-Play,Case studies;Games/Role-playing,Course-integrated,
FAS_809,FAS,Economics,Economics,Graduate,Master / PhD,ECON,695,Special Topics: Computational Economics,Computer Analysis; Model Building; Practical Aspects Of Analysis,,Course-integrated,
FAS_81,FAS,Chemistry and Biochemistry,Chemistry,Graduate,Master,CHEM,651,Nanochemistry,Term Project Carried Out Using The Nanoscience Facilities Held In The Department Research Labs,,Course-integrated,
FAS_810,FAS,Economics,Economics / Analytical Economics,Undergraduate,Bachelor,ECON,421,Econometrics I,Computer-Based Applications,Laboratory/Clinics,Course-integrated,
FAS_811,FAS,Economics,Economics,Undergraduate,Bachelor,ECON,422,Econometrics II,Computer-Based Applications,Laboratory/Clinics,Course-integrated,
FAS_812,FAS,Economics,Economics,Graduate,Graduate Diploma,ECON,521 (x-listed w 421),Econometrics I,Computer-Based Applications,,Course-integrated,
FAS_813,FAS,Economics,Economics,Graduate,Graduate Diploma,ECON,522 (x-listed w 422),Econometrics II,Computer-Based Applications,,Course-integrated,
FAS_814,FAS,Economics,Economics,Graduate,Master / PhD,ECON,680 (lab),Econometric Theory I,Computer-Based Applications,,Course-integrated,
FAS_815,FAS,Economics,Economics,Graduate,Master / PhD,ECON,681 (lab),Econometric Theory II,Computer-Based Applications,,Course-integrated,
FAS_816,FAS,Philosophy,Honours in Philosophy,Undergraduate,Bachelor,PHIL,495,Honours Essay,An Honours Student May Arrange A Tutorial Program With A Faculty Member Culminating In A Research Project Not Exceeding 40 Pages.,Capstone project,Course-integrated;Research-based,
FAS_817,FAS,Philosophy,"Minor, Major or Honours in Philosophy",Undergraduate,Bachelor,PHIL,496,Tutorial in Philosophy,Personal Intensive Reading And Research Program Under The Supervision Of A Faculty Member.,Case Studies,Course-integrated;Research-based,
FAS_818,FAS,Philosophy,"Minor, Major or Honours in Philosophy",Undergraduate,Bachelor,PHIL,497,Tutorial in Philosophy,Personal Intensive Reading And Research Program Under The Supervision Of A Faculty Member.,Case Studies,Course-integrated;Research-based,
FAS_819,FAS,Political Science,Political science,Undergraduate,Bachelor,POLI,393, Quantitative Research Methods ,"This Course Is Intended To Introduce Graduate Students To Quantitative Analysis In Political Science. Key Skills In Univariate, Bivariate, And Multivariate Analysis; Hypothesis Testing; Measures Of Association; Inferential Statistics; And Graphing Are Demonstrated Using Statistical Software In Lab Exercises.",Laboratory/Clinics;Simulations,Course-integrated,
FAS_82,FAS,Chemistry and Biochemistry,Chemistry,Graduate,Master,CHEM,692,Experimental Protein Chemistry,"Hands-On Course, Laboratory",,Course-integrated,
FAS_820,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,BIOL,398,Intermediate Topics in Biology: Ecology of Urban Environments,Field Work,Hands-on workshops,Course-integrated,
